well,condition,timepoint_day,registration_channel,estimated_y_shift,estimated_x_shift,pre_registration_correlation,post_registration_correlation,overlap_fraction,registration_error,qc_pass,qc_note,row,column,common_crop
D14,PLD3_TMEM106B_no_mCherry,16,488nm Binned,0.0,-1132.5,0.012008647793460496,0.006470190188157772,0.6051255230125523,0.9999999999999886,True,phase_cross_correlation_on_stable_channel,D,14,"{'y_start': 0, 'y_stop': 2868, 'x_start': 454, 'x_stop': 1735}"
D15,PLD3_TMEM106B_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,D,15,"{'y_start': 0, 'y_stop': 2868, 'x_start': 758, 'x_stop': 2868}"
D15,PLD3_TMEM106B_no_mCherry,12,488nm Binned,0.0,757.7999877929688,0.020741632497439978,0.007434216026580987,0.735774062833693,0.9999999999999889,True,phase_cross_correlation_on_stable_channel,D,15,"{'y_start': 0, 'y_stop': 2868, 'x_start': 758, 'x_stop': 2868}"
D15,PLD3_TMEM106B_no_mCherry,16,488nm Binned,0.0,408.8999938964844,0.003823352115094824,0.006543232699761152,0.8574267803708213,0.9999999999999866,True,phase_cross_correlation_on_stable_channel,D,15,"{'y_start': 0, 'y_stop': 2868, 'x_start': 758, 'x_stop': 2868}"
D16,PLD3_TMEM106B_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,D,16,"{'y_start': 0, 'y_stop': 2868, 'x_start': 1222, 'x_stop': 2868}"
D16,PLD3_TMEM106B_no_mCherry,12,488nm Binned,0.0,211.60000610351562,0.0019290530287028906,0.0033026440138892257,0.9262203604938928,0.9999999999999895,True,phase_cross_correlation_on_stable_channel,D,16,"{'y_start': 0, 'y_stop': 2868, 'x_start': 1222, 'x_stop': 2868}"
D16,PLD3_TMEM106B_no_mCherry,16,488nm Binned,0.0,1221.699951171875,0.008846456741746115,0.008206907957453932,0.5740237269275191,0.9999999999999732,True,phase_cross_correlation_on_stable_channel,D,16,"{'y_start': 0, 'y_stop': 2868, 'x_start': 1222, 'x_stop': 2868}"
D17,PLD3_TMEM106B_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,D,17,"{'y_start': 0, 'y_stop': 2259, 'x_start': 991, 'x_stop': 2868}"
D17,PLD3_TMEM106B_no_mCherry,12,488nm Binned,-608.4000244140625,0.0,0.009929449560475206,0.011565470992501638,0.7878661002740368,0.9999999999999786,True,phase_cross_correlation_on_stable_channel,D,17,"{'y_start': 0, 'y_stop': 2259, 'x_start': 991, 'x_stop': 2868}"
D17,PLD3_TMEM106B_no_mCherry,16,488nm Binned,0.0,990.2000122070312,0.015287594254446094,0.017692091091326256,0.654741976217911,0.9999999999999605,True,phase_cross_correlation_on_stable_channel,D,17,"{'y_start': 0, 'y_stop': 2259, 'x_start': 991, 'x_stop': 2868}"
D18,PLD3_TMEM106B_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,D,18,"{'y_start': 0, 'y_stop': 2868, 'x_start': 1057, 'x_stop': 2868}"
D18,PLD3_TMEM106B_no_mCherry,12,488nm Binned,0.0,571.7000122070312,0.013325102329385535,0.01013745583771555,0.8006624783099612,0.9999999999999747,True,phase_cross_correlation_on_stable_channel,D,18,"{'y_start': 0, 'y_stop': 2868, 'x_start': 1057, 'x_stop': 2868}"
D18,PLD3_TMEM106B_no_mCherry,16,488nm Binned,0.0,1056.699951171875,0.004770246016378417,0.007531149182494551,0.6315551076806573,0.9999999999999815,True,phase_cross_correlation_on_stable_channel,D,18,"{'y_start': 0, 'y_stop': 2868, 'x_start': 1057, 'x_stop': 2868}"
D19,PLD3_TMEM106B_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,D,19,"{'y_start': 517, 'y_stop': 2868, 'x_start': 290, 'x_stop': 2868}"
D19,PLD3_TMEM106B_no_mCherry,12,488nm Binned,516.2000122070312,0.0,7.970569934250851e-05,0.005740081818167231,0.8200139427451076,0.9999999999999684,True,phase_cross_correlation_on_stable_channel,D,19,"{'y_start': 517, 'y_stop': 2868, 'x_start': 290, 'x_stop': 2868}"
D19,PLD3_TMEM106B_no_mCherry,16,488nm Binned,0.0,289.1000061035156,0.005058807897990554,0.006559052062584197,0.8991980452916613,0.9999999999999886,True,phase_cross_correlation_on_stable_channel,D,19,"{'y_start': 517, 'y_stop': 2868, 'x_start': 290, 'x_stop': 2868}"
D20,PLD3_TMEM106B_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,D,20,"{'y_start': 0, 'y_stop': 1899, 'x_start': 0, 'x_stop': 2868}"
D20,PLD3_TMEM106B_no_mCherry,12,488nm Binned,-968.5,0.0,0.005307358498241007,0.0019828014116442545,0.6623082287308228,0.9999999999999818,True,phase_cross_correlation_on_stable_channel,D,20,"{'y_start': 0, 'y_stop': 1899, 'x_start': 0, 'x_stop': 2868}"
D20,PLD3_TMEM106B_no_mCherry,16,488nm Binned,-215.0,0.0,-0.0013174523249620254,0.004992021096382546,0.9250348675034867,0.9999999999999912,True,phase_cross_correlation_on_stable_channel,D,20,"{'y_start': 0, 'y_stop': 1899, 'x_start': 0, 'x_stop': 2868}"
E05,PLD3_mCherry_reporter_control,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,E,05,"{'y_start': 0, 'y_stop': 2343, 'x_start': 0, 'x_stop': 2868}"
E05,PLD3_mCherry_reporter_control,12,488nm Binned,-524.7000122070312,0.0,0.0009767041345922552,0.000429893891280636,0.8170502049487339,0.9999999999999203,True,phase_cross_correlation_on_stable_channel,E,05,"{'y_start': 0, 'y_stop': 2343, 'x_start': 0, 'x_stop': 2868}"
E05,PLD3_mCherry_reporter_control,16,488nm Binned,-83.9000015258789,0.0,0.018409225799900123,0.00667265679125172,0.9707461640425806,0.9999999999999646,True,phase_cross_correlation_on_stable_channel,E,05,"{'y_start': 0, 'y_stop': 2343, 'x_start': 0, 'x_stop': 2868}"
E06,PLD3_mCherry_reporter_control,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,E,06,"{'y_start': 0, 'y_stop': 2868, 'x_start': 438, 'x_stop': 2868}"
E06,PLD3_mCherry_reporter_control,12,488nm Binned,0.0,116.80000305175781,0.0017143910750080588,0.0035738920804603736,0.9592747548634039,0.9999999999999745,True,phase_cross_correlation_on_stable_channel,E,06,"{'y_start': 0, 'y_stop': 2868, 'x_start': 438, 'x_stop': 2868}"
E06,PLD3_mCherry_reporter_control,16,488nm Binned,0.0,437.6000061035156,0.01645927225321437,0.001019174750702998,0.847419802613837,0.9999999999999891,True,phase_cross_correlation_on_stable_channel,E,06,"{'y_start': 0, 'y_stop': 2868, 'x_start': 438, 'x_stop': 2868}"
